,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
29,"31 JANE OSLER BLVD, Toronto, Ontario, M6A 1W6",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4+1,4.0,"Park, Public Transit, Schools",32.47 x 103.2 FT ; South: 46.54 Ft; West: 104.16 Ft,Garage,6.0,2.0,141.35,,,,"$1,699,000"
30,"74 O'HARA AVE, Toronto, Ontario, M6K 2R2",Townhouse,Row / Townhouse,Finished,"Brick, Vinyl",Yes,Freehold,Single Family,3+1,4.0,"Park, Public Transit, Schools",14.17 x 133 FT,,2.0,2.0,117.84,Lane,,,"$1,699,000"
31,"370 JONES AVE, Toronto, Ontario, M4J 3G3",Duplex,Duplex,Finished,"Aluminum siding, Brick",,,Single Family,5+1,4.0,"Hospital, Park, Public Transit, Schools",29.82 x 120 FT,Carport,4.0,3.0,185.68,,,,"$1,649,900"
32,"616 RUSHTON RD, Toronto, Ontario, M6C 2Y7",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",32 x 118 FT ; Irregular - Existing 2012 Survey,Detached garage,2.0,2.0,,"Ravine, Lane",,,"$1,649,900"
33,"98 SEVENTEENTH ST, Toronto, Ontario, M8V 3K4",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4,4.0,,31.04 x 100.13 FT ; As Per Survey,Detached garage,5.0,2.0,99.48999999999998,,,,"$1,624,999"
34,"283 BROADWAY Avenue, Toronto, Ontario, M4P 1W2",,,Unfinished,"Brick, Stucco",,,Single Family,3,1.0,"Recreation, Public Transit, Hospital, Schools",,"Interlocked, None",1.0,2.0,,"Conservation/green belt, No Driveway",,Community Centre,"$1,600,000"
35,"131 HILLMOUNT AVE, Toronto, Ontario, M6B 1X7",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",50 x 140 FT,Attached garage,5.0,1.0,89.47000000000001,,,Community Centre,"$1,599,000"
36,"426 ROXTON RD, Toronto, Ontario, M6G 3R4",Detached,House,,Brick,Yes,Freehold,Single Family,5,5.0,"Park, Public Transit, Schools",25 x 125 FT,Detached garage,2.0,3.0,,Lane,,Community Centre,"$1,599,000"
37,"14 CRAIGMORE CRES, Toronto, Ontario, M2N 2Y3",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",50 x 110 FT,,3.0,2.0,127.89,Wooded area,,,"$1,599,000"
38,"34B LINTON AVE, Toronto, Ontario, M1N 1W6",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,4,5.0,,19.5 x 118 FT,Attached garage,3.0,2.0,135.77,,,,"$1,549,000"
39,"142 CRANBROOKE AVE, Toronto, Ontario, M5M 1M5",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,,25 x 110 FT,,,2.0,86.07000000000002,,,,"$1,499,000"
40,"121 ARGONNE CRES, Toronto, Ontario, M2K 2K2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,4.0,"Park, Public Transit, Schools",66 x 114.5 FT ; Quiet Location-Close To Ttc/Park/Ravine,Attached garage,6.0,2.0,158.42000000000004,Ravine,,Community Centre,"$1,448,000"
41,"43 ANN ARBOUR RD W, Toronto, Ontario, M9M 2J5",Detached,House,Finished,Brick,,Freehold,Single Family,4+1,4.0,,42 x 130.12 FT ; Pie Shaped 77 Feet At Rear,Detached garage,5.0,2.0,148.27999999999997,,,,"$1,399,900"
42,"42 THURSFIELD CRES, Toronto, Ontario, M4G 2N5",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,,25.07 x 105 FT,Detached garage,2.0,2.0,65.91,,,,"$1,399,000"
43,"392 QUEBEC AVE, Toronto, Ontario, M6P 2V4",Detached,House,,Brick,,Freehold,Single Family,4+1,3.0,"Park, Public Transit, Schools",25 x 160 FT,,,3.0,136.49,,,Community Centre,"$1,399,000"
44,"603 CUMMER AVE, Toronto, Ontario, M2K 2M5",Detached,House,Finished,Brick,,Freehold,Single Family,4+2,3.0,"Hospital, Public Transit, Schools",53 x 114 FT ; Quiet And Cozy Back Yard,Garage,6.0,2.0,86.52999999999999,,,,"$1,390,000"
45,"33 MURRAY AVE, Toronto, Ontario, M1S 2A1",Detached,House,Unfinished,Brick,Yes,Freehold,Single Family,4,4.0,,119 x 165 FT,,10.0,2.0,,Wooded area,,,"$1,388,888"
46,"21 HUMBERT ST, Toronto, Ontario, M6J 1M7",Semi-Detached,House,,Brick,,Freehold,Single Family,2+1,2.0,,17.81 x 70 FT ; Row At Rear To #23 Humbert,,1.0,2.0,86.64,,,,"$1,349,000"
47,"54 GLEN DAVIS CRES, Toronto, Ontario, M4E 1X5",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,3.0,"Park, Public Transit, Schools",25 x 199 FT,,2.0,2.0,,Ravine,,,"$1,299,000"
48,"135 QUEENSBURY AVE, Toronto, Ontario, M1N 2X8",Detached,House,Partially finished,Brick,,Freehold,Single Family,3+1,3.0,,25.5 x 93.5 FT,Garage,3.0,2.0,,,,,"$1,290,000"
49,"212 LOGAN AVE, Toronto, Ontario, M4M 2N3",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,4,3.0,"Park, Public Transit, Schools",14.01 x 114 FT,Detached garage,1.0,3.0,88.88999999999999,Lane,,Community Centre,"$1,249,900"
50,"191 WITHROW AVE, Toronto, Ontario, M4K 1E2",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,,19 x 128 FT,Carport,1.0,2.0,66.68,Lane,,,"$1,249,000"
51,"109 NORTHCLIFFE BLVD, Toronto, Ontario, M6E 3K3",Detached,House,,Brick,Yes,Freehold,Single Family,3+1,4.0,"Park, Public Transit, Schools",25 x 120 FT,Detached garage,1.0,2.0,99.85,,,,"$1,229,000"
52,"44 RHODES AVE, Toronto, Ontario, M4L 2Z9",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",14.08 x 110 FT ; Copy Of Survey Dated 1981 Available,,,2.0,82.89,,,Community Centre,"$1,199,000"
53,"8 BRIARCROFT RD, Toronto, Ontario, M6S 1H4",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",25 x 110 FT ; Copy Of 2007 Survey Available,Detached garage,2.0,2.0,81.81,,,,"$1,199,000"
54,"88 HARRIS AVE, Toronto, Ontario, M4C 1P6",Triplex,Triplex,,"Aluminum siding, Brick",Yes,,Single Family,5+3,5.0,,25 x 100 FT,,,3.0,,,,,"$1,188,000"
55,"144 HOPE ST, Toronto, Ontario, M6E 1K3",Detached,House,Finished,Brick,,Freehold,Single Family,5+2,3.0,,22 x 84.4 FT,Detached garage,4.0,2.0,127.63,,,,"$1,149,000"
56,"936 SCARLETT RD, Toronto, Ontario, M9P 2V6",Detached,House,,Stucco,,Freehold,Single Family,4,3.0,"Park, Public Transit, Schools",45.58 x 145 FT ; Irregular Lot,Detached garage,4.0,2.0,1108.96,,,,"$1,125,000"
57,"126 DOLLERY CRT, Toronto, Ontario, M2R 3P1",Semi-Detached,House,Finished,"Brick, Wood",Yes,Freehold,Single Family,3,4.0,"Hospital, Park, Public Transit, Schools",30 x 85 FT,Attached garage,3.0,2.0,135.9,,,,"$1,100,000"
58,"21 TRENT AVE, Toronto, Ontario, M4C 5C6",Semi-Detached,House,,Brick,,Freehold,Single Family,4+1,4.0,"Hospital, Park, Public Transit, Schools",16.52 x 115.1 FT,,2.0,3.0,113.23,Lane,,,"$1,100,000"
59,"10 TWIN PAULS CRES, Toronto, Ontario, M1R 3Z5",Detached,House,Finished,"Brick, Stucco",,Freehold,Single Family,3+1,4.0,,45 x 125 FT,Detached garage,9.0,2.0,,,,,"$1,059,000"
60,"163 GLENMOUNT PARK RD N, Toronto, Ontario, M4E 2E3",Semi-Detached,House,Partially finished,"Aluminum siding, Brick",,Freehold,Single Family,3,2.0,,19.75 x 90 FT,,1.0,2.0,,,,,"$1,048,000"
61,"3 HOLYOAKE CRES, Toronto, Ontario, M9W 6G9",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+2,2.0,,"53.08 x 110.58 FT ; Irreg: As Per Deed, Corner Lot",Attached garage,6.0,1.0,,,,,"$999,900"
62,"264 MAXWELL ST, Toronto, Ontario, M3H 5B9",Detached,House,,Brick,,Freehold,Single Family,3+1,4.0,"Park, Public Transit, Schools",60.79 x 100 FT,Garage,3.0,1.0,99.18,,,,"$999,000"
63,"4 SEALCOVE DR, Toronto, Ontario, M9C 2C4",Detached,House,Finished,"Aluminum siding, Brick",Yes,Freehold,Single Family,3,3.0,"Park, Public Transit, Schools",50 x 105.83 FT,Attached garage,3.0,2.0,80.62999999999998,,,Community Centre,"$999,000"
64,"41 RIVERVIEW HTS, Toronto, Ontario, M9P 2N3",Detached,House,,Brick,Yes,Freehold,Single Family,3+1,3.0,,42 x 150 FT ; Ravin Lot,Detached garage,5.0,2.0,,Ravine,,,"$999,000"
65,"63 TIVERTON AVE, Toronto, Ontario, M4M 2M1",Townhouse,Row / Townhouse,Finished,,Yes,Freehold,Single Family,3,2.0,"Park, Public Transit",15 x 100 FT,,2.0,2.0,107.85,"Cul-de-sac, Lane",,,"$999,000"
66,"23 TARSUS CRES, Toronto, Ontario, M1C 3W6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,,36 x 100 FT,Attached garage,6.0,2.0,144.59,,,,"$998,900"
67,"1 THIRTEENTH ST, Toronto, Ontario, M8V 3H3",Detached,House,Finished,Brick,Yes,Freehold,Single Family,2+1,2.0,"Park, Public Transit, Schools",25 x 110 FT,Detached garage,1.0,1.0,,,,Community Centre,"$998,800"
68,"16 BROCK AVE, Toronto, Ontario, M6K 2K7",Townhouse,Row / Townhouse,,Aluminum siding,,Freehold,Single Family,3+1,3.0,"Hospital, Park, Public Transit, Schools",16.33 x 98 FT,Garage,2.0,2.0,128.24,,,,"$998,000"
69,"77 DELBURN DRIVE DR, Toronto, Ontario, M1V 1A8",Detached,House,Finished,"Aluminum siding, Brick",Yes,Freehold,Single Family,4+2,5.0,,50 x 110 FT,Attached garage,5.0,5.0,147.67,,,,"$980,000"
70,"67 Cowan ST, Toronto, Ontario, M6K 2N1",Semi-Detached,,Unfinished,Brick,,Freehold,Single Family,3,1.0,,18.3x73,No Garage,,3.0,,,,,"$949,900"
71,"254 MORTIMER AVE, Toronto, Ontario, M4J 2C5",Semi-Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,3+1,2.0,"Hospital, Park, Public Transit, Schools",24 x 110 FT,,3.0,2.0,76.32,,,Community Centre,"$949,888"
72,"160 CHISHOLM AVE, Toronto, Ontario, M4C 4W1",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,,25 x 100 FT,,2.0,2.0,93.18,,,,"$949,000"
73,"22 HINES DR, Toronto, Ontario, M2H 2M1",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,"Hospital, Public Transit, Schools",30 x 120 FT,Attached garage,3.0,1.0,161.11,,,"Community Centre, School Bus","$944,900"
74,"666 BRIMLEY RD, Toronto, Ontario, M1J 1B9",Detached,House,Finished,Brick,,Freehold,Single Family,3+4,4.0,"Park, Public Transit, Schools",42 x 120 FT,Carport,4.0,1.0,1064.91,,,Community Centre,"$899,900"
75,"9 MCCARTNEY ST, Toronto, Ontario, M9M 0B8",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,4+1,4.0,"Park, Public Transit, Schools",22.47 x 82.02 FT,Attached garage,3.0,2.0,107.55,,,Community Centre,"$899,900"
76,"138 FOXWELL ST, Toronto, Ontario, M6N 1Z6",Detached,House,,Brick,,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",30 x 115 FT,Detached garage,5.0,1.0,,,,Community Centre,"$899,900"
77,"147 STANLEY GREENE BLVD, Toronto, Ontario, M3K 0A5",Townhouse,Row / Townhouse,Finished,Stone,,Freehold,Single Family,3+1,4.0,Public Transit,60.38 x 23 FT,Garage,2.0,3.0,1081.61,Ravine,,Community Centre,"$899,900"
78,"525 OLD WESTON RD, Toronto, Ontario, M6N 3B2",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3+1,3.0,"Park, Public Transit, Schools",28.75 x 43.05 FT,Attached garage,3.0,2.0,98.75,,,Community Centre,"$899,900"
79,"65 PONYMEADOW TERR, Toronto, Ontario, M1C 4J4",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,,30 x 100 FT,Attached garage,4.0,2.0,116.96,,,,"$899,500"
80,"53 GARDENTREE ST, Toronto, Ontario, M1E 2G2",Detached,House,Finished,Brick,,Freehold,Single Family,3+2,2.0,,49 x 102.5 FT ; ***Premium Lot***,Attached garage,5.0,1.0,94.64,,,,"$899,000"
81,"21 BUENA VISTA AVE, Toronto, Ontario, M1S 1J3",Detached,House,Finished,"Brick, Vinyl",,Freehold,Single Family,3+3,2.0,,50 x 150 FT,,4.0,1.0,88.75,,,,"$899,000"
82,"225 CALEDONIA RD, Toronto, Ontario, M6E 4T2",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",18.25 x 127 FT,Detached garage,2.0,2.0,123.14,Lane,,Community Centre,"$899,000"
83,"22 ST. MARKS  RD, Toronto, Ontario, M6S 2H8",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,,18.46 x 95 FT,Detached garage,1.0,2.0,69.17999999999999,Lane,,,"$899,000"
84,"86 BUDE ST, Toronto, Ontario, M6C 1X8",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,2.0,"Park, Public Transit, Schools",25 x 90.19 FT,Detached garage,6.0,2.0,133.99,,,Community Centre,"$888,000"
85,"51 BRIGHTSIDE DR, Toronto, Ontario, M1E 3Y8",Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,3+1,2.0,"Park, Schools",43 x 117 FT,Attached garage,3.0,2.0,,,,,"$874,500"
86,"14 FURLONG CRT, Toronto, Ontario, M1J 1Y8",Detached,House,Finished,Brick,,Freehold,Single Family,3+3,4.0,"Hospital, Park, Public Transit, Schools",40 x 110 FT ; 40.18 Ft X 96.59 Ft X 57.05 Ft X 109.88,Carport,5.0,1.0,83.08999999999997,,,,"$850,000"
87,"3529 ST CLAIR AVE E, Toronto, Ontario, M1K 1L5",Detached,House,,Brick,Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",40 x 113 FT,Garage,2.0,1.0,85.77,,,,"$849,900"
88,"208 OAK PARK AVE, Toronto, Ontario, M4C 4M8",Detached,House,Finished,Aluminum siding,Yes,Freehold,Single Family,2+1,2.0,"Park, Public Transit, Schools",25 x 100.2 FT,,2.0,2.0,59.69000000000001,Ravine,,,"$849,000"
89,"1 HEYWORTH CRES, Toronto, Ontario, M4E 1T6",Semi-Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,2+1,2.0,,17.17 x 99.85 FT ; L Shaped Widens @ Rear To 46' (Parking),,1.0,2.0,54.64,,,,"$799,900"
90,"102 INVERGORDON AVE, Toronto, Ontario, M1S 2Z2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,Public Transit,45.51 x 125 FT,Attached garage,5.0,1.0,102.5,,,,"$799,900"
91,"26 GLENCREST BLVD, Toronto, Ontario",Detached,House,Finished,Brick,,Freehold,Single Family,2,1.0,,40.29 x 100 FT ; Irregular: West:101.46 North:52.23(Mpac),Detached garage,4.0,1.0,54.94000000000001,,,,"$799,900"
92,"242 RIVER ST, Toronto, Ontario, M5A 3R1",Townhouse,Row / Townhouse,Unfinished,"Vinyl, Wood",Yes,Freehold,Single Family,1,1.0,"Hospital, Park, Public Transit",15.58 x 88.75 FT,,,2.0,,,,,"$799,000"
93,"41 SERGIO MARCHI ST, Toronto, Ontario, M3L 0B7",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,4,4.0,"Hospital, Park, Public Transit, Schools",15.49 x 70 FT,Attached garage,2.0,3.0,1074.41,,,,"$799,000"
94,"194  HISCOCK BLVD, Toronto, Ontario, M1G 1V1",Detached,House,Finished,Brick,,Freehold,Single Family,3+2,2.0,,50 x 112 FT,Attached garage,5.0,1.0,67.71000000000001,,,,"$799,000"
95,"729 COXWELL AVE, Toronto, Ontario, M4C 3C3",Detached,House,Finished,Brick,Yes,Freehold,Single Family,2+1,2.0,,27.74 x 108 FT,Detached garage,2.0,1.0,55.13999999999999,,,,"$799,000"
96,"9 SANDSTONE LANE, Toronto, Ontario, M4J 4Z8",Semi-Detached,House,Partially finished,Brick,,Freehold,Single Family,3,2.0,,15 x 80 FT,,2.0,3.0,63.71,,,,"$798,888"
97,"56 STONEHENGE CRES, Toronto, Ontario, M1G 2P6",Detached,House,Partially finished,Brick,Yes,Freehold,Single Family,3+2,2.0,"Hospital, Park, Public Transit, Schools",47 x 109.71 FT,,3.0,2.0,1192.31,,,School Bus,"$797,000"
98,"92 WALPOLE AVE S, Toronto, Ontario, M4L 2J1",Semi-Detached,House,Unfinished,"Aluminum siding, Brick",Yes,Freehold,Single Family,2,1.0,"Public Transit, Schools",12.83 x 100 FT,,,2.0,54.38999999999999,,,,"$789,000"
99,"188 SWANWICK AVE, Toronto, Ontario, M4E 2A6",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,2,2.0,"Park, Public Transit, Schools",12.46 x 91.16 FT,,1.0,1.0,31.36,Lane,,,"$789,000"
100,"52 THIRTEENTH ST, Toronto, Ontario, M8V 3H4",Detached,House,Unfinished,"Aluminum siding, Brick",,Freehold,Single Family,3,1.0,,24 x 110.41 FT,,1.0,1.0,51.66,,,,"$789,000"
101,"90 GRISTONE CRES, Toronto, Ontario, M1X 1T6",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3+1,4.0,,30.35 x 90.52 FT,Attached garage,4.0,2.0,79.67999999999998,,,,"$775,000"
102,"36 PONYMILL DR, Toronto, Ontario, M1V 2Y1",Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,3+1,3.0,"Park, Public Transit, Schools",25.06 x 110.23 FT,Attached garage,3.0,2.0,60.52,Wooded area,,,"$758,000"
103,,Townhouse,,,,,,,3,4.0,,,,2.0,2.0,,,,,"$750,000"
104,"48 BURKWOOD CRES, Toronto, Ontario, M1B 1P1",Semi-Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,4+1,3.0,"Public Transit, Schools",43.8 x 127.8 FT,,4.0,2.0,111.88,,,,"$749,900"
105,"66 SCUNTHORPE RD, Toronto, Ontario, M1S 4W4",Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,4+1,3.0,,26.27 x 75.85 FT,Attached garage,3.0,2.0,73.81,,,,"$749,000"
106,"245 SIXTH Street, Toronto, Ontario, M8V 3A8",Townhouse,Row / Townhouse,Unfinished,"Vinyl siding, Wood",,,Single Family,3,3.0,"Park, Public Transit, Schools",,Carport,,3.0,,"Park setting, Park/reserve",,,"$749,000"
107,"#79B -740 KENNEDY RD, Toronto, Ontario, M1K 2C5",Townhouse,Row / Townhouse,Finished,"Aluminum siding, Brick",,Freehold,Single Family,2+1,2.0,"Public Transit, Schools",20.69 x 19.38 FT ; 20.69X19.38X24.97X49.53X68.92,,2.0,2.0,61.95,,,,"$725,000"
108,"11 SMITHY CRT, Toronto, Ontario, M1C 0C3",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3,4.0,,16.68 x 82.63 FT,Attached garage,3.0,3.0,78.65,,,,"$700,000"
109,"317 ALBION RD, Toronto, Ontario, M9W 3P2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,,48.79 x 142 FT ; Irreg,Detached garage,7.0,1.0,71.05,,,,"$699,900"
110,"44 ELLIS PARK RD, Toronto, Ontario, M6S 2V3",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,6.0,"Hospital, Park, Public Transit, Schools",45.01 x 147.79 FT,Attached garage,4.0,3.0,146.13,Conservation/green belt,,,"$5,200,000"
111,"90 GLEN RUSH BLVD, Toronto, Ontario, M5N 2V1",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,5+1,7.0,,46 x 117 FT,Garage,6.0,2.0,207.57000000000005,,,,"$4,295,000"
